Товар,Категория,Бренд,Дата обновления,Склады
Выключатель автоматический 3п 50А 35кА AV POWER-1/3 TR AVERES mccb-13-50-TR-av,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14014.1}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14014.1}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14014.1}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}]"
Выключатель автоматический 3п 32А 35кА AV POWER-1/3 TR AVERES mccb-13-32-TR-av,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 13231.37}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 13231.37}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 13231.37}, 'availability': {'quantity': 30, 'min_order': 1, 'lead_time': '10 дней'}}]"
Автоматический выключатель AV POWER-1/3 20А 35kA TR(кр.1шт) [mccb-13-20-TR-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-1/3 160А 50kA ETU6.0(кр.1шт) [mccb-13-160-6.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb-13-160-2.0-av Автоматический выключатель AV POWER-1/3 160А 50kA ETU2.0(кр.1шт),Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 125А 35кА AV POWER-1/3 TR AVERES mccb-13-125-TR-av,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 14:05:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14335.97}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14335.97}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14335.97}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}]"
Автоматический выключатель AV POWER-1/3 10А 35kA TR(кр.1шт) [mccb-13-10-TR-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 14:05:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-320010-63А-1,5Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [102370]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-320010-16А-3Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [101147],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-341810-100А-6Iн-400AC-НР24AC/DC-З/П-У3-АЭС-КЭАЗ (кр.1шт) [100139],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-341110-63А-12Iн-400AC-З/П-У3-АЭС-КЭАЗ (кр.1шт) [102285],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-341110-6,3А-12Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [101586]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-341110-10А-6Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [100769],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-340010-2,5А-12Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [102127]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-340010-12,5А-6Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [100387]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-322810-100А-12Iн-400AC-НР24AC/DC-У3-АЭС-КЭАЗ (кр.1шт) [102985],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-321110-40А-3Iн-400AC-З/П-У3-АЭС-КЭАЗ (кр.1шт) [101025],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-1А-6Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [102958],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-240010-2,5А-6Iн-440DC-У3-АЭС-КЭАЗ (кр.1шт) [100358]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-240010-12,5А-6Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [101317]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
100997 Выключатель автоматический ВА21-29-220010-4А-3Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт),Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-220010-31,5А-6Iн-440DC-У3-АЭС-КЭАЗ (кр.1шт) [102389]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-140010-6,3А-12Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [103048]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-120010-25А-6Iн-240DC-У3-КЭАЗ (кр.1шт) [102274],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-120010-16А-3Iн-400AC-У3-КЭАЗ (кр.1шт) [102177],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-12,5А-3Iн-400AC-У3-КЭАЗ (кр.1шт) [103031]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-1,6А-1,5Iн-400AC-У3-КЭАЗ (кр.1шт) [101236]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-322210-63А-12Iн-690AC-У3-АЭС-КЭАЗ (кр.1шт) [102192],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-321110-31,5А-3Iн-690AC-З/П-У3-АЭС-КЭАЗ (кр.1шт) [101318]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-240010-0,6А-6Iн-440DC-У3-АЭС-КЭАЗ (кр.1шт) [100417]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-4А-1,5Iн-240DC-У3-АЭС-КЭАЗ (кр.1шт) [103037]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-0,6А-12Iн-400AC-У3-АЭС-КЭАЗ (кр.1шт) [102963]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-0,6А-12Iн-400AC-З/П-У3-АЭС-КЭАЗ (кр.1шт) [102979]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА13-29-3318-31,5А-12Iн-690AC-НР400AC-У3-КЭАЗ (кр.1шт) [108072]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-321110-4А-3Iн-400AC-У3-КЭАЗ (кр.1шт) [102758],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-321110-2,5А-3Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [100116]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-340010-2,5А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [100946]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-340010-100А-6Iн-400AC-У3-КЭАЗ (кр.1шт) [100998],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-340010-1,6А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [102371]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-322210-8А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [102961],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-322210-20А-3Iн-400AC-У3-КЭАЗ (кр.1шт) [102988],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-321810-50А-12Iн-400AC-НР220AC/DC-У3-КЭАЗ (кр.1шт) [102987],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-321110-40А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [100242],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-320010-6,3А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [100487]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-320010-2,5А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [102148]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-320010-2,5А-1,5Iн-400AC-У3-КЭАЗ (кр.1шт) [102138]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-320010-16А-1,5Iн-400AC-У3-КЭАЗ (кр.1шт) [101162]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-221110-16А-6Iн-440DC-У3-КЭАЗ (кр.1шт) [100115],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-220010-5А-12Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [101330],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-220010-2А-3Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [101077],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-320010-0,6А-12Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [100179]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-8А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [102184],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-241110-6,3А-6Iн-400AC-У3-КЭАЗ (кр.1шт) [100176]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-50А-6Iн-440DC-З/П-У3-КЭАЗ (кр.1шт) [102944],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-50А-4Iн-400AC-У3-КЭАЗ (кр.1шт) [102296],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-40А-6Iн-400AC-У3-КЭАЗ (кр.1шт) [100177],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-241110-20А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [100992],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-240010-63А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [100899],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-240010-5А-6Iн-440DC-З/П-У3-КЭАЗ (кр.1шт) [102990],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-341110-25А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [102779],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-340010-8А-4Iн-400AC-У3-КЭАЗ (кр.1шт) [100440],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-340010-80А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [102397],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat E250Н125-УХЛ3 (кр.1шт) [230656],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat E250N250-УХЛ3 (кр.1шт) [230655],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический OptiMat E250N160-УХЛ3 (кр.1шт) [230653],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-342210-80А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [101075],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-341110-2А-6Iн-400AC-У3-КЭАЗ (кр.1шт) [100545],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-341810-10А-6Iн-400AC-НР220AC/DC-У3-КЭАЗ (кр.1шт) [102956],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29В-220010-6,3А-6Iн-440DC-У3-КЭАЗ (кр.1шт) [100470]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
